Date : 2023-12-07 16:08:43
Directory : /Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting
Total : 261 files,  11259 codes, 621 comments, 1548 blanks, all 13428 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| HorseAccounting/Assets.xcassets                                                                                                                                       |        168 |      3,482 |          0 |        168 |      3,650 |
| HorseAccounting/Assets.xcassets (Files)                                                                                                                               |          1 |          6 |          0 |          1 |          7 |
| HorseAccounting/Assets.xcassets/AppIcon.appiconset                                                                                                                    |          1 |         14 |          0 |          1 |         15 |
| HorseAccounting/Assets.xcassets/LaunchCover.imageset                                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01                                                                                                                              |        157 |      3,282 |          0 |        157 |      3,439 |
| HorseAccounting/Assets.xcassets/icons_01 (Files)                                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_01.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_02.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_03.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_01.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_02.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_03.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_01.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_02.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_03.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_01.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_02.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_03.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_01.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_02.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_03.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_01.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_02.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_03.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_01.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_02.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_03.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BB_Skin_01.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BB_Skin_02.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BB_Skin_03.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BC_Hair_01.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BC_Hair_02.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BC_Hair_03.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_01.imageset                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_02.imageset                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_03.imageset                                                                                                    |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_01.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_02.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_03.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CB_Medical_01.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CB_Medical_02.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CB_Medical_03.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CC_Sports_01.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CC_Sports_02.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/CC_Sports_03.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DA_fee_01.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DA_fee_02.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DA_fee_03.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DB_Book_01.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DB_Book_02.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DB_Book_03.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DC_Documents_01.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DC_Documents_02.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DC_Documents_03.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_01.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_02.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_03.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EA_Plane_01.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EA_Plane_02.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EA_Plane_03.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EC_Bike_01.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EC_Bike_02.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/EC_Bike_03.imageset                                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GA_KTV_01.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GA_KTV_02.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GA_KTV_03.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_01.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_02.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_03.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_01.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_02.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_03.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GE_Movie_01.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GE_Movie_02.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/GE_Movie_03.imageset                                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HA_VIP_01.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HA_VIP_02.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HA_VIP_03.imageset                                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_01.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_02.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_03.imageset                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/I_01.imageset                                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/I_02.imageset                                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/I_03.imageset                                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_01.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_02.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_03.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_01.imageset                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_02.imageset                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_03.imageset                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear_l.imageset                                                                                             |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_teddy_bear_s.imageset                                                                                             |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck_l.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_family_toy_duck_s.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_barbell.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_barbell_l.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_barbell_s.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_bodybuilding.imageset                                                                                            |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_bodybuilding_l.imageset                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_bodybuilding_s.imageset                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_boxing.imageset                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_boxing_l.imageset                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_boxing_s.imageset                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_elliptical_machine.imageset                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_elliptical_machine_l.imageset                                                                                    |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_elliptical_machine_s.imageset                                                                                    |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_fitball.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_fitball_l.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_fitball_s.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_hand_muscle_developer.imageset                                                                                   |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_hand_muscle_developer_l.imageset                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_hand_muscle_developer_s.imageset                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_sit_in.imageset                                                                                                  |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_sit_in_l.imageset                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_sit_in_s.imageset                                                                                                |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_skating.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_skating_l.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_skating_s.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_weightlifting.imageset                                                                                           |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_weightlifting_l.imageset                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_fitness_weightlifting_s.imageset                                                                                         |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_air_conditioner.imageset                                                                                            |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_air_conditioner_l.imageset                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_air_conditioner_s.imageset                                                                                          |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bed.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bed_l.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bed_s.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bread_machine.imageset                                                                                              |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bread_machine_l.imageset                                                                                            |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bread_machine_s.imageset                                                                                            |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bulb.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bulb_l.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_bulb_s.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_hair_drier.imageset                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_hair_drier_l.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_home_hair_drier_s.imageset                                                                                               |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_life_date.imageset                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_life_date_l.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/xcc_life_date_s.imageset                                                                                                     |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_8.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_8_l.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_8_s.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_9.imageset                                                                                                        |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_9_l.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/icons_01/ycc_income_9_s.imageset                                                                                                      |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image1.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image2.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image3.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image4.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image5.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image6.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/image7.imageset                                                                                                                       |          1 |         21 |          0 |          1 |         22 |
| HorseAccounting/Assets.xcassets/photo.badge.arrow.down.imageset                                                                                                       |          1 |         12 |          0 |          1 |         13 |
| HorseAccounting/Auxiliary                                                                                                                                             |          9 |         80 |         10 |         21 |        111 |
| HorseAccounting/Auxiliary/Extensions                                                                                                                                  |          6 |         54 |          6 |         14 |         74 |
| HorseAccounting/Auxiliary/Functions                                                                                                                                   |          3 |         26 |          4 |          7 |         37 |
| HorseAccounting/Components                                                                                                                                            |          3 |        119 |         17 |         32 |        168 |
| HorseAccounting/Configuration                                                                                                                                         |          1 |         60 |          7 |         19 |         86 |
| HorseAccounting/CoreData                                                                                                                                              |         14 |      2,452 |        173 |        438 |      3,063 |
| HorseAccounting/CoreData (Files)                                                                                                                                      |          1 |         16 |         16 |          7 |         39 |
| HorseAccounting/CoreData/DataStructure                                                                                                                                |          1 |         81 |         55 |         33 |        169 |
| HorseAccounting/CoreData/Extension                                                                                                                                    |         11 |        517 |        100 |        160 |        777 |
| HorseAccounting/CoreData/TestData                                                                                                                                     |          1 |      1,838 |          2 |        238 |      2,078 |
| HorseAccounting/MVVM                                                                                                                                                  |          2 |         53 |         21 |         25 |         99 |
| HorseAccounting/Modules                                                                                                                                               |         33 |      1,790 |        226 |        337 |      2,353 |
| HorseAccounting/Modules/ExpenseSheet                                                                                                                                  |         29 |      1,381 |        172 |        244 |      1,797 |
| HorseAccounting/Modules/ExpenseSheet (Files)                                                                                                                          |          3 |        430 |         71 |         67 |        568 |
| HorseAccounting/Modules/ExpenseSheet/ExtraMetaItem                                                                                                                    |          9 |        297 |         20 |         65 |        382 |
| HorseAccounting/Modules/ExpenseSheet/ExtraMetaItem (Files)                                                                                                            |          2 |         48 |          0 |         12 |         60 |
| HorseAccounting/Modules/ExpenseSheet/ExtraMetaItem/ForWho                                                                                                             |          3 |         83 |          1 |         17 |        101 |
| HorseAccounting/Modules/ExpenseSheet/ExtraMetaItem/Story                                                                                                              |          4 |        166 |         19 |         36 |        221 |
| HorseAccounting/Modules/ExpenseSheet/ExtractOriginalTextFuncs                                                                                                         |          5 |        234 |         33 |         37 |        304 |
| HorseAccounting/Modules/ExpenseSheet/ExtractOriginalTextFuncs (Files)                                                                                                 |          2 |        172 |         19 |         20 |        211 |
| HorseAccounting/Modules/ExpenseSheet/ExtractOriginalTextFuncs/NLP                                                                                                     |          3 |         62 |         14 |         17 |         93 |
| HorseAccounting/Modules/ExpenseSheet/Focus                                                                                                                            |          3 |        110 |          5 |         18 |        133 |
